country,iso3,fuel_type,year,capacity_gw,generation_twh,capacity_factor,cf_low,cf_high,years_used,proxy_fuel,source_id,note
CZ,CZE,coal,2025,6.86,26.6,0.4426,0.4058,0.5613,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CZ,CZE,gas,2025,1.82,4.08,0.2559,0.2442,0.4852,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CZ,CZE,hydro,2025,1.12,1.71,0.1743,0.1743,0.2711,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CZ,CZE,nuclear,2025,4.35,31.94,0.8382,0.7903,0.8382,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CZ,CZE,oil,2025,0.08,0.16,0.2283,0.2283,0.7135,2,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
CZ,CZE,solar,2025,4.54,4.39,0.1104,0.1018,0.1251,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CZ,CZE,wind,2025,0.37,0.57,0.1759,0.1759,0.235,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
DE,DEU,bioenergy,2025,8.98,50.53,0.6423,0.6326,0.6634,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
DE,DEU,coal,2025,31.97,103.15,0.3683,0.3646,0.5242,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
DE,DEU,gas,2025,32.44,82.67,0.2909,0.2743,0.3642,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
DE,DEU,hydro,2025,5.69,19.56,0.3924,0.3611,0.4946,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
DE,DEU,nuclear,2022,4.2,34.71,0.9434,0.8033,0.9731,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
DE,DEU,oil,2025,4.13,18.91,0.5227,0.5227,0.6629,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
DE,DEU,solar,2025,106.27,89.62,0.0963,0.0928,0.1125,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
DE,DEU,wind,2025,77.81,136.03,0.1996,0.1996,0.231,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
DJ,DJI,oil,2024,0.12,0.13,0.1237,0.1237,0.1237,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
DJ,DJI,wind,2024,0.08,0.07,0.0999,0.0999,0.0999,2,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
DK,DNK,bioenergy,2025,1.79,7.63,0.4866,0.396,0.5027,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
DK,DNK,coal,2025,0.41,0.15,0.0418,0.0418,0.4872,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
DK,DNK,gas,2025,1.08,0.13,0.0137,0.0137,0.2442,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
DK,DNK,oil,2025,0.65,1.71,0.3003,0.1598,0.3003,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
DK,DNK,solar,2025,5.05,4.61,0.1042,0.088,0.1184,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
DK,DNK,wind,2025,7.55,20.28,0.3066,0.2617,0.3131,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
DO,DOM,bioenergy,2025,0.08,0.2,0.2854,0.2854,0.3425,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
DO,DOM,coal,2025,1.06,6.59,0.7097,0.6203,0.8314,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
DO,DOM,gas,2025,2.24,6.07,0.3093,0.3093,0.5177,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
DO,DOM,hydro,2025,0.63,1.53,0.2772,0.2664,0.2772,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
DO,DOM,oil,2025,2.45,4.62,0.2153,0.2153,0.3503,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
DO,DOM,solar,2025,2.08,2.25,0.1235,0.1235,0.1913,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
DO,DOM,wind,2025,0.48,1.42,0.3377,0.318,0.3764,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
DZ,DZA,gas,2024,25.83,95.0,0.4199,0.4199,0.4419,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
DZ,DZA,hydro,2024,0.13,0.02,0.0176,0.0088,0.0272,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
DZ,DZA,oil,2024,1.56,0.33,0.0241,0.0241,0.0285,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
DZ,DZA,solar,2024,0.46,0.99,0.2457,0.2106,0.253,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
EC,ECU,bioenergy,2025,0.17,0.32,0.2149,0.2149,0.312,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
EC,ECU,gas,2025,0.81,0.98,0.1381,0.1381,0.4607,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
EC,ECU,hydro,2025,5.39,28.51,0.6038,0.4844,0.6038,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
EC,ECU,oil,2025,3.51,6.56,0.2133,0.1779,0.3051,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
EC,ECU,solar,2025,0.13,0.04,0.0351,0.0351,0.0571,2,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
EC,ECU,wind,2025,0.07,0.19,0.3098,0.3098,0.3751,3,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
EG,EGY,gas,2025,53.43,195.65,0.418,0.3794,0.418,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
EG,EGY,hydro,2025,2.83,15.07,0.6079,0.5797,0.6079,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
EG,EGY,oil,2021,0.79,4.85,0.7008,0.7008,0.7008,1,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
EG,EGY,solar,2025,3.27,7.61,0.2657,0.2657,0.3418,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
EG,EGY,wind,2025,3.03,9.3,0.3504,0.3186,0.4107,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
ER,ERI,oil,2024,0.21,0.4,0.2174,0.1957,0.2392,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
ES,ESP,bioenergy,2025,1.16,6.41,0.6308,0.5857,0.6949,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
ES,ESP,coal,2025,0.61,0.92,0.1722,0.1389,0.3094,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
ES,ESP,gas,2025,27.89,62.06,0.254,0.2181,0.3587,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
ES,ESP,hydro,2025,16.79,32.77,0.2228,0.1195,0.2337,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
ES,ESP,nuclear,2025,7.12,54.1,0.8674,0.8674,0.9394,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
ES,ESP,oil,2025,3.5,10.03,0.3271,0.3271,0.394,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
ES,ESP,solar,2025,47.21,62.92,0.1521,0.1521,0.1926,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
ES,ESP,wind,2025,33.3,58.76,0.2014,0.2014,0.2538,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
EE,EST,bioenergy,2025,0.98,1.33,0.1549,0.1549,0.9622,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
EE,EST,gas,2025,0.21,0.08,0.0435,0.0109,0.0435,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
EE,EST,oil,2025,0.75,2.38,0.3623,0.2398,0.4909,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
EE,EST,solar,2025,0.98,1.22,0.1421,0.1015,0.1421,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
EE,EST,wind,2025,0.71,1.15,0.1849,0.1737,0.2604,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
ET,ETH,bioenergy,2025,0.31,0.01,0.0037,0.0037,0.0074,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
ET,ETH,hydro,2025,9.21,32.19,0.399,0.3972,0.534,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
ET,ETH,oil,2020,0.1,0.01,0.0114,0.0114,0.0114,2,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
ET,ETH,wind,2025,0.5,1.1,0.2511,0.1598,0.2925,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
FI,FIN,bioenergy,2025,3.66,10.34,0.3225,0.3225,0.6226,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
FI,FIN,coal,2025,0.9,0.16,0.0203,0.0203,0.247,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
FI,FIN,gas,2025,1.43,0.95,0.0758,0.0527,0.2934,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
FI,FIN,hydro,2025,3.22,12.44,0.441,0.441,0.5686,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
FI,FIN,nuclear,2025,4.37,32.82,0.8573,0.8516,0.9656,4,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
FI,FIN,oil,2025,1.47,1.9,0.1475,0.1475,0.2974,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
FI,FIN,solar,2025,1.57,0.98,0.0713,0.0685,0.088,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
FI,FIN,wind,2025,9.38,22.58,0.2748,0.2416,0.298,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
FJ,FJI,bioenergy,2024,0.07,0.12,0.1957,0.0652,0.2093,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
FJ,FJI,hydro,2024,0.14,0.6,0.4892,0.4485,0.4892,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
FJ,FJI,oil,2024,0.24,0.42,0.1998,0.1998,0.282,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
FR,FRA,bioenergy,2025,1.67,10.27,0.702,0.6961,0.744,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
FR,FRA,coal,2025,1.91,1.74,0.104,0.061,0.2902,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
FR,FRA,gas,2025,17.52,17.25,0.1124,0.1124,0.2813,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
FR,FRA,hydro,2025,24.31,59.41,0.279,0.2147,0.3341,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
FR,FRA,nuclear,2025,61.4,392.07,0.7289,0.548,0.7289,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
FR,FRA,oil,2025,3.16,10.36,0.3743,0.3407,0.3775,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
FR,FRA,solar,2025,31.23,32.01,0.117,0.1124,0.1314,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
FR,FRA,wind,2025,25.65,46.46,0.2068,0.2068,0.2495,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
FO,FRO,oil,2023,0.11,0.26,0.2698,0.2594,0.3282,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
FO,FRO,wind,2023,0.07,0.09,0.1468,0.1468,0.2055,2,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GA,GAB,gas,2024,0.5,1.15,0.2626,0.2511,0.2626,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GA,GAB,hydro,2024,0.32,0.91,0.3246,0.3246,0.5422,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GA,GAB,oil,2024,0.19,0.53,0.3184,0.2403,0.3244,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
GB,GBR,bioenergy,2025,7.01,41.21,0.6711,0.5801,0.6848,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GB,GBR,coal,2023,2.17,3.78,0.1989,0.0819,0.1989,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GB,GBR,gas,2025,38.39,90.91,0.2703,0.2584,0.393,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GB,GBR,hydro,2025,2.19,5.55,0.2893,0.2825,0.3002,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GB,GBR,nuclear,2025,5.88,36.38,0.7063,0.6721,0.9202,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GB,GBR,oil,2025,2.21,12.77,0.6596,0.5,0.6596,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
GB,GBR,solar,2025,21.66,19.32,0.1018,0.0889,0.1028,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GB,GBR,wind,2025,33.4,85.84,0.2934,0.2878,0.3184,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GE,GEO,gas,2025,2.04,2.75,0.1539,0.1332,0.1931,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GE,GEO,hydro,2025,3.52,10.64,0.3451,0.3451,0.3682,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GE,GEO,solar,2025,0.32,0.03,0.0107,0.0107,0.0571,3,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GH,GHA,gas,2024,3.06,14.91,0.5562,0.4626,0.5562,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GH,GHA,hydro,2024,1.58,8.6,0.6214,0.5267,0.664,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GH,GHA,oil,2024,0.37,0.57,0.1759,0.1671,0.2144,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
GH,GHA,solar,2024,0.19,0.17,0.1021,0.0623,0.1074,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GN,GIN,hydro,2024,0.81,3.0,0.4228,0.2883,0.4228,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GN,GIN,oil,2024,0.43,1.0,0.2655,0.2602,0.2914,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
GP,GLP,bioenergy,2023,0.05,0.26,0.5936,0.1826,0.5936,4,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GP,GLP,coal,2023,0.06,0.22,0.4186,0.4186,0.5327,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GP,GLP,oil,2023,0.3,0.86,0.3272,0.3223,0.3843,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
GP,GLP,solar,2023,0.09,0.11,0.1395,0.1395,0.1427,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GP,GLP,wind,2023,0.06,0.1,0.1903,0.137,0.2511,4,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GM,GMB,oil,2024,0.16,0.51,0.3639,0.3567,0.3914,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
GQ,GNQ,gas,2024,0.16,1.08,0.7705,0.6493,0.7705,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GQ,GNQ,hydro,2024,0.13,0.4,0.3512,0.3073,0.4303,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GQ,GNQ,oil,2024,0.12,0.01,0.0095,0.0095,0.0095,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
GR,GRC,bioenergy,2025,0.18,0.71,0.4503,0.4503,0.5403,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GR,GRC,coal,2025,1.65,2.74,0.1896,0.1819,0.2962,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GR,GRC,gas,2025,6.97,23.33,0.3821,0.2995,0.4881,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GR,GRC,hydro,2025,3.49,3.42,0.1119,0.1119,0.1969,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GR,GRC,oil,2025,1.44,4.18,0.3314,0.3155,0.3425,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
GR,GRC,solar,2025,11.08,11.46,0.1181,0.1181,0.1598,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GR,GRC,wind,2025,5.71,12.08,0.2415,0.2405,0.2668,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GD,GRD,oil,2024,0.07,0.24,0.3914,0.3914,0.5023,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
GL,GRL,hydro,2024,0.09,0.47,0.5961,0.5454,0.6088,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GL,GRL,oil,2024,0.1,0.1,0.1142,0.0799,0.1256,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
GT,GTM,bioenergy,2024,0.87,3.5,0.4592,0.304,0.5052,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GT,GTM,coal,2024,0.44,2.5,0.6486,0.3295,0.8665,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GT,GTM,hydro,2024,1.58,6.3,0.4552,0.4082,0.5119,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GT,GTM,oil,2024,0.63,2.5,0.453,0.0571,0.453,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
GT,GTM,solar,2024,0.1,0.28,0.3196,0.2626,0.3196,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GT,GTM,wind,2024,0.11,0.37,0.384,0.3217,0.384,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GF,GUF,hydro,2023,0.12,0.52,0.4947,0.39,0.5613,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GF,GUF,solar,2023,0.07,0.06,0.0978,0.0951,0.1142,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GU,GUM,oil,2024,0.44,1.7,0.4411,0.4411,0.4512,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
GU,GUM,solar,2024,0.1,0.16,0.1826,0.1598,0.1826,3,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
GY,GUY,oil,2024,0.32,1.33,0.4745,0.3924,0.4745,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
HK,HKG,bioenergy,2024,0.06,0.16,0.3044,0.2854,0.3196,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
HK,HKG,coal,2024,4.11,12.6,0.35,0.2266,0.35,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
HK,HKG,gas,2024,5.8,24.0,0.4724,0.4724,0.5776,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
HK,HKG,oil,2024,0.3,0.45,0.1712,0.0609,0.1712,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
HK,HKG,solar,2024,0.41,0.23,0.064,0.0634,0.137,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
HN,HND,bioenergy,2024,0.22,0.84,0.4359,0.3684,0.4359,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
HN,HND,coal,2016,0.07,0.04,0.0652,0.0652,0.1468,2,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
HN,HND,hydro,2024,0.91,3.8,0.4767,0.3669,0.5063,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
HN,HND,oil,2024,0.87,5.5,0.7217,0.555,0.74,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
HN,HND,solar,2024,0.55,1.18,0.2449,0.224,0.2455,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
HN,HND,wind,2024,0.24,0.75,0.3567,0.3282,0.3662,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
HR,HRV,bioenergy,2025,0.16,1.0,0.7135,0.7135,0.8371,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
HR,HRV,coal,2025,0.34,0.73,0.2451,0.2451,0.5238,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
HR,HRV,gas,2025,0.35,2.76,0.9002,0.9002,0.9002,1,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
HR,HRV,hydro,2025,2.19,5.78,0.3013,0.282,0.4253,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
HR,HRV,oil,2024,1.11,0.01,0.001,0.001,0.0066,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
HR,HRV,solar,2025,1.32,1.29,0.1116,0.0778,0.1223,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
HR,HRV,wind,2025,1.38,3.14,0.2597,0.2353,0.2597,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
HT,HTI,hydro,2024,0.08,0.16,0.2283,0.1855,0.2711,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
HT,HTI,oil,2024,0.4,0.7,0.1998,0.1884,0.2568,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
HU,HUN,bioenergy,2025,0.62,2.39,0.4401,0.3369,0.4896,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
HU,HUN,coal,2025,1.01,1.38,0.156,0.156,0.3041,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
HU,HUN,gas,2025,4.18,8.15,0.2226,0.1815,0.2226,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
HU,HUN,hydro,2025,0.06,0.23,0.4376,0.3425,0.4376,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
HU,HUN,nuclear,2025,2.03,16.1,0.9054,0.8891,0.9054,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
HU,HUN,oil,2025,0.45,0.4,0.1015,0.1015,0.137,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
HU,HUN,solar,2025,8.18,10.98,0.1532,0.1273,0.1532,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
HU,HUN,wind,2025,0.32,0.6,0.214,0.214,0.2461,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
ID,IDN,bioenergy,2024,3.06,21.33,0.7957,0.7499,0.7957,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
ID,IDN,coal,2024,56.69,228.43,0.46,0.46,0.5534,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
ID,IDN,gas,2024,23.58,68.78,0.333,0.3049,0.3376,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
ID,IDN,hydro,2024,7.05,27.29,0.4419,0.4272,0.4658,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
ID,IDN,oil,2024,5.84,7.12,0.1392,0.1392,0.1612,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
ID,IDN,solar,2024,0.94,1.35,0.1639,0.0986,0.1639,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
ID,IDN,wind,2024,0.15,0.47,0.3577,0.274,0.3653,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
IN,IND,bioenergy,2025,10.96,23.04,0.24,0.2324,0.2554,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
IN,IND,coal,2025,250.65,1474.15,0.6714,0.6204,0.7175,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
